,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,conservation status,ecomorphological guild,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,geographic distribution includes,habitat,population trend,biogeographic realm,body mass,foraging habitat,life span,trophic guild,weight,host of,eats,ecoregion,type specimen repository,body shape,diet includes,mating system,native range includes,parental care,social system,preys on,number of public records in bold,behavioral circadian rhythm,bill length,genome size,tarsus length,temperature at range midpoint latitude,basal metabolic rate,litters per year,prenatal development duration,body temperature,parasitized by,middle toe length,has ectoparasite,is vector for,growth rate,onset of fertility,has endoparasite,visits flowers of,motility,sensory system,is eaten by,preyed upon by,used for,tarsometatarsus + middle toe length,body length,pathogen of,has host,initial mortality rate,mortality rate doubling time,symbiont of,clutch/brood/litter size,egg mass,has pathogen,harvested in,mutualistic with,mineralized tissue contains,reproduction,standard length,water depth,Total length,parasite of,trophic level,visits,is killed by,invasive in,Leaf Complexity,leaf morphology,life cycle habit,photosynthetic pathway,plant growth form,plant lifeform,produces,seed dry mass,after harvest regrowth rate,anaerobic soil tolerance,bloom period,calcareous soil tolerance,fire resistance,fire tolerance,fruit or seed color,planting density,precipitation tolerance,seeds per pound,spore arrangement,leaf sheddability,fruit type,leaf lamina area,leaf mass per area,leaf nitrogen per dry mass,vegetative plant height,leaf arrangement,developmental mode,wing morphology,supporting structures and enclosures,diet breadth,geographic range (size of area),habitat breadth,social group size,territorial
0,Lesser whitethroat,Animalia,Chordata,Aves,https://eol.org/pages/4411488,Sylvia curruca blythi (Common Lesser Whitethroat) is a subspecies of birds in the family Sylviidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lesser woodcreeper,Animalia,Chordata,Aves,https://eol.org/pages/284050,Xiphorhynchus fuscus (Lesser Woodcreeper) is a species of birds in the family ovenbirds. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Bolivia,montane forest,,,21.8 g,,,,,Ixodes auritulus Neumann 1904,Galium hypocarpium (L.) Endl. ex Griseb.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lesser yellowlegs,Animalia,Chordata,Aves,https://eol.org/pages/45509204,"Tringa flavipes (Lesser Yellowlegs) is a species of birds in the family Scolopacidae. They are associated with freshwater habitat. They are native to The Neotropics and The Nearctic. They are solitary, diurnal carnivores. They have parental care (female provides care, pair provides care, and paternal care). They rely on flight to move around.",,,nectonic,,,,,,Mexico,,Decreasing,,,freshwater,,invertivore,,,,,,bilaterally symmetric,mollusks,monogamous,The Neotropics,,group living,,,,,,,,,1 /year,23 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lesser yellownape,Animalia,Chordata,Aves,https://eol.org/pages/45516574,Picus chlorolophus (Lesser Yellownape) is a species of birds in the family woodpeckers. They are found in the indo-malayan realm and the palearctic. They rely on flight to move around.,tympanic middle ear,,,,,flight,apatite,corneal eyes,Indian Ocean,"tropical,terrestrial",Stable,the indo-malayan realm,74 g,,,,,,Cinnamomum bejolghota (Buch.-Ham.) Sweet,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lessons motmot,Animalia,Chordata,Aves,https://eol.org/pages/45509682,Momotus lessonii (Blue Diademed Motmot) is a species of birds in the family motmots. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,Belize,terrestrial,Decreasing,,,,,,,,,,,,,,,,,Blaberus craniifer Burmeister 1838 (Death's Head Cockroach),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lessons seedeater,Animalia,Chordata,Aves,https://eol.org/pages/45510475,Sporophila bouvronides (Lesson's Seedeater) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,North Atlantic,"subtropical,freshwater habitat",Stable,The Neotropics,10.3 g,,,,,,,Uatuma-Trombetas Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Letitias thorntail,Animalia,Chordata,Aves,https://eol.org/pages/45512277,Discosura letitiae (Coppery Thorntail) is a species of birds in the family hummingbirds. They are listed in cites appendix ii. They rely on flight to move around.,otoliths,cites appendix ii,,1000 Hz,20 dB,bipedal movement,apatite,corneal eyes,Bolivia,terrestrial,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lettered aracari,Animalia,Chordata,Aves,https://eol.org/pages/45512548,Pteroglossus inscriptus (Lettered Aracari) is a species of birds in the family Ramphastidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,South Pacific,subtropical,Decreasing,The Neotropics,,,,,,,Jacaratia digitata (Poepp. & Endl.) Solms-Laub.,,,,,,,,,,,,69.37 mm,1.564 pg,28.11 mm,21.96 degrees celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Levaillants cisticola,Animalia,Chordata,Aves,https://eol.org/pages/45514493,Cisticola tinniens (Lesser Black Backed Cisticola) is a species of birds in the family African warblers. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,flight,apatite,corneal eyes,Mozambique,terrestrial,Stable,Afrotropics,18.5 g,,,,,,,Kalahari Xeric Savanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Levaillants cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/1064884,Clamator levaillantii (Levaillant's Cuckoo) is a species of birds in the family Cuculidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,Mozambique,freshwater habitat,Stable,,141 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamprotornis chalybaeus Hemprich & Ehrenberg 1828 (Greater Blue-eared Glossy-starling),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Levaillants woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45518790,Picus vaillantii (Levaillant's Green Woodpecker) is a species of birds in the family woodpeckers. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,Algeria,"mountain,terrestrial",Unknown,,166 g,,,,,,,,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Levant sparrowhawk,Animalia,Chordata,Aves,https://eol.org/pages/45515821,Accipiter brevipes (Levant Sparrowhawk) is a species of birds in the family Accipitridae. They are listed in cites appendix ii. They are found in the palearctic and Afrotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,,,,flight,,corneal eyes,Israel,"desert,terrestrial",Stable,the palearctic,187 g,terrestrial,,vertivore,,,Lacerta agilis Linnaeus 1758 (Sand Lizard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lewins honeyeater,Animalia,Chordata,Aves,https://eol.org/pages/45518572,Meliphaga lewinii (Lewin's Honeyeater) is a species of birds in the family honeyeaters. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,,10 dB,bipedal movement,apatite,corneal eyes,Australia,"valley,terrestrial",Decreasing,australasia,40 g,,,,,,,,,,,,,,,CORRUPTED VALUE for trait R20-PK36801283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lewins rail,Animalia,Chordata,Aves,https://eol.org/pages/45516100,Lewinia pectoralis (Lewin's Rail) is a species of birds in the family rails. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,Australia,"tropical,marine",Decreasing,australasia,111 g,,,,,,,,"University Museum of Zoology, Cambridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lichtensteins sandgrouse,Animalia,Chordata,Aves,https://eol.org/pages/45513978,"Pterocles lichtensteinii (Lichtenstein's Sandgrouse) is a species of birds in the family sand-grouse. They are found in Afrotropics, the indo-malayan realm, and the palearctic. They rely on flight to move around.",tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,United States,terrestrial,Stable,Afrotropics,250 g,,,,,,,Masai Xeric Grasslands And Shrublands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lidths jay,Animalia,Chordata,Aves,https://eol.org/pages/916535,Garrulus lidthi (Lidth's Jay) is a species of birds in the family Corvidae. They are listed as vulnerable by IUCN. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,vulnerable,,5000 Hz,10 dB,flight,apatite,corneal eyes,,"tropical,terrestrial",Decreasing,the palearctic,,,,,,,,Sayan Montane Conifer Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lilac kingfisher,Animalia,Chordata,Aves,https://eol.org/pages/45516452,Cittura cyanotis (Lilac Kingfisher) is a species of birds in the family Alcedinidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,Indonesia,terrestrial,Decreasing,australasia,,,,,,,,Sulawesi Lowland Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lilians lovebird,Animalia,Chordata,Aves,https://eol.org/pages/45514183,Agapornis lilianae (Lilian's Lovebird) is a species of birds in the family Psittaculidae. They are listed as near threatened by IUCN and in cites appendix ii. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,,,bipedal movement,,corneal eyes,United States,terrestrial,Decreasing,Afrotropics,40 g,,19.2 years,,37.3 g,,,,NHMUK,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Limestone leaf warbler,Animalia,Chordata,Aves,https://eol.org/pages/45517045,Phylloscopus calciatilis (Limestone Leaf Warbler) is a species of birds in the family Phylloscopidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Vietnam,mountain range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Limestone wrenbabbler,Animalia,Chordata,Aves,https://eol.org/pages/920621,Napothera crispifrons (Limestone Wren Babbler) is a species of birds in the family Pellorneidae. They are found in the palearctic and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Laos,,,the palearctic,28.3 g,,,,,,,Northern Thailand-Laos Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Limpkin,Animalia,Chordata,Aves,https://eol.org/pages/45509137,Aramus guarauna (Limpkin) is a species of birds in the family limpkins. They are associated with freshwater habitat. They are native to Atlantic Ocean. They rely on flight to move around.,tympanic middle ear,,nectonic,,,flight,,corneal eyes,Gulf Of Mexico,swamp,Stable,The Nearctic,1270 g,,,,,,Pomacea,,,bilaterally symmetric,,,Atlantic Ocean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Linas sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45517617,Aethopyga linaraborae (Lina's Sunbird) is a species of birds in the family Sunbirds. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,near threatened,,,10 dB,bipedal movement,apatite,corneal eyes,The Philippines,"tropical,terrestrial",Stable,the indo-malayan realm,7 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lincolns sparrow,Animalia,Chordata,Aves,https://eol.org/pages/45511187,Melospiza lincolnii (Lincoln's Sparrow) is a species of birds in the family Passerellidae. They are found in The Neotropics and The Nearctic. They are diurnal. They rely on flight to move around.,,,,,,flight,,corneal eyes,Ontario,swamp,Stable,The Neotropics,,,7.6 years,,1.69 g,,Ambrosia (ragweed),,(MLZ) - MLZ Bird Collection (Arctos) {http://www.oxy.edu/moore-lab-zoology},,,,,,,,,,,,,,,1 /year,11 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lineated barbet,Animalia,Chordata,Aves,https://eol.org/pages/45516513,Psilopogon lineatus (Lineated Barbet) is a species of birds in the family Asian barbets. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,bipedal movement,apatite,corneal eyes,Bangladesh,terrestrial,Stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lineated foliagegleaner,Animalia,Chordata,Aves,https://eol.org/pages/45511676,Syndactyla subalaris (Lineated Foliage Gleaner) is a species of birds in the family ovenbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,bipedal movement,apatite,corneal eyes,Colombia,"tropical,terrestrial",Decreasing,The Neotropics,28.9 g,,,,,,,Magdalena Valley Montane Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lineated woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45509783,Dryocopus lineatus (Lineated Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics and The Nearctic. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,South Pacific,valley,,The Neotropics,173 g,,,,,,Myrsine coriacea (Sw.) R. Br. (leathery colicwood),Xingu-Tocantins-Araguaia Moist Forests,,,,,,,,,,,,1.665 pg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined antshrike,Animalia,Chordata,Aves,https://eol.org/pages/45512629,Thamnophilus tenuepunctatus (Lined Antshrike) is a species of birds in the family typical antbirds. They are listed as vulnerable by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,vulnerable,,,10 dB,bipedal movement,apatite,corneal eyes,Colombia,"subtropical,terrestrial",Decreasing,The Neotropics,23 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined forest falcon,Animalia,Chordata,Aves,https://eol.org/pages/45512598,Micrastur gilvicollis (Lined Forest Falcon) is a species of birds in the family falcons. They are listed in cites appendix ii. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,,20 dB,flight,apatite,corneal eyes,Suriname,terrestrial,Decreasing,The Neotropics,262 g,,,,,,,Juruá-Purus Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined quaildove,Animalia,Chordata,Aves,https://eol.org/pages/1049758,Zentrygon linearis (Lined Quail Dove) is a species of birds in the family Columbidae. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,North Atlantic,"subtropical,terrestrial",Decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lined seedeater,Animalia,Chordata,Aves,https://eol.org/pages/45510476,Sporophila lineola (Lined Seedeater) is a species of birds in the family tanagers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,Argentina,"tropical,terrestrial",Stable,The Neotropics,12 g,,,,,,,Gurupa Varzea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lita woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/1250669,Piculus litae (Lita Woodpecker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,Ecuador,terrestrial,Decreasing,The Neotropics,,,,,,,,Chocó-DariéN Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little auk,Animalia,Chordata,Aves,https://eol.org/pages/45509340,"Alle alle (Dovekie) is a species of birds in the family auks. They are native to The Nearctic, the Palearctic, Atlantic Ocean, and Arctic Ocean. They are diurnal carnivores. Individuals can grow to 48 cm. They have parental care (pair provides care, paternal care, and female provides care). They rely on flight, swimming, and lift powered swimming to move around.",,,nectonic,,,,,,Mexico,,Decreasing,the palearctic,,marine pelagic,,invertivore,,,,,,bilaterally symmetric,fish,monogamous,The Nearctic,,group living,,,,,,,,,,,,,,,,,,,,,,,,,,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little beeeater,Animalia,Chordata,Aves,https://eol.org/pages/45514072,Merops pusillus (Little Bee Eater) is a species of birds in the family bee-eaters. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,South Atlantic,freshwater habitat,Decreasing,Afrotropics,20.6 g,,,,,,Anthophila,Central African Mangroves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bittern,Animalia,Chordata,Aves,https://eol.org/pages/45513561,"Ixobrychus minutus (Little Bittern) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are found in the palearctic, Afrotropics, australasia, and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,,,,,flight,,corneal eyes,United States,marsh,Decreasing,the palearctic,,freshwater,6.9 years,invertivore,101 g,,Hyperolius Rapp 1842 (african reed frogs),,,,,,,,,Hyperolius Rapp 1842 (african reed frogs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little black cormorant,Animalia,Chordata,Aves,https://eol.org/pages/45516072,Phalacrocorax sulcirostris (Little Black Cormorant) is a species of birds in the family cormorants. They are associated with freshwater habitat. They are found in australasia and the indo-malayan realm. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,nectonic,,,flight,,corneal eyes,New Zealand,freshwater,Unknown,australasia,995 g,freshwater,,vertivore,,,Perca fluviatilis Linnaeus 1758 (Barsch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little blue heron,Animalia,Chordata,Aves,https://eol.org/pages/45511356,Egretta caerulea (Little Blue Heron) is a species of birds in the family Ardeidae. They are associated with freshwater habitat. They are native to The Nearctic and The Neotropics. They rely on flight to move around.,,,,,,flight,,,United States,marsh,Decreasing,The Nearctic,,,13.9 years,,339.5 g,,,,,bilaterally symmetric,,,The Nearctic,,,,,,,,,,,1 /year,23 days,,,,,,0.258 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bronze cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45517827,Chrysococcyx minutillus (Little Bronze Cuckoo) is a species of birds in the family Cuculidae. They are found in australasia and the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,South Pacific,tropical,,australasia,21 g,,,,,,,Trobriand Islands Rain Forests,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little brown bustard,Animalia,Chordata,Aves,https://eol.org/pages/45513873,Eupodotis humilis (Little Brown Bustard) is a species of birds in the family bustards. They are listed in cites appendix ii. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,cites appendix ii,,5000 Hz,20 dB,flight,apatite,corneal eyes,,grassland,,Afrotropics,698 g,,,,,,,Ethiopian Xeric Grasslands And Shrublands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bunting,Animalia,Chordata,Aves,https://eol.org/pages/45511170,Emberiza pusilla (Little Bunting) is a species of birds in the family New World sparrows. They are found in the indo-malayan realm and the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.,tympanic middle ear,,,,,flight,apatite,corneal eyes,United States,"mountain,terrestrial",Stable,the indo-malayan realm,15 g,terrestrial,,granivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little bustard,Animalia,Chordata,Aves,https://eol.org/pages/45513581,Tetrax tetrax (L Ittle Bustard) is a species of birds in the family bustards. They are listed as near threatened by IUCN and in cites appendix ii. They are found in the palearctic and the indo-malayan realm. They are diurnal omnivores. They have parental care (female provides care). They rely on flight to move around.,tympanic middle ear,near threatened,,,,flight,,corneal eyes,Japan,"grassland,terrestrial",Decreasing,the palearctic,834 g,terrestrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little buttonquail,Animalia,Chordata,Aves,https://eol.org/pages/1178464,Turnix velox (Little Button Quail) is a species of birds in the family buttonquails. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,Indian Ocean,"arid,terrestrial",Decreasing,australasia,64 g,,,,,,,Great Victoria Desert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little chachalaca,Animalia,Chordata,Aves,https://eol.org/pages/45512021,Ortalis motmot (Little Chachalaca) is a species of birds in the family Cracidae. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,United States,terrestrial,Decreasing,The Neotropics,620 g,,,,,,Mauritiella,TapajóS-Xingu Moist Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little corella,Animalia,Chordata,Aves,https://eol.org/pages/45516621,Cacatua sanguinea (Little Corella) is a species of birds in the family cockatoos. They are listed in cites appendix ii. They are found in australasia. They rely on flight to move around.,,,,,,flight,,,Australia,arid,Increasing,australasia,,,46.9 years,,350 g,,,,NHMUK,,,,,,,,,,30.8 mm,,28.3 mm,12.96 degrees celsius,,,,,,,,,0.165 /day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little cormorant,Animalia,Chordata,Aves,https://eol.org/pages/45516069,Microcarbo niger (Little Cormorant) is a species of birds in the family cormorants. They are associated with freshwater habitat. They rely on flight to move around.,tympanic middle ear,,,5000 Hz,20 dB,flight,apatite,corneal eyes,United States,"valley,terrestrial",Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little crake,Animalia,Chordata,Aves,https://eol.org/pages/45513925,"Porzana parva (Little Crake) is a species of birds in the family rails. They are associated with freshwater habitat. They are found in Afrotropics, the indo-malayan realm, and the palearctic. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,South Atlantic,,,Afrotropics,50 g,freshwater,,invertivore,,,,Kazakh Semi-Desert,Staatliches Museum fuer Naturkund Stuttgart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little crow,Animalia,Chordata,Aves,https://eol.org/pages/45518682,Corvus bennetti (Little Crow) is a species of birds in the family Corvidae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,,,,10 dB,flight,apatite,corneal eyes,Indian Ocean,"desert,terrestrial",Decreasing,australasia,525 g,,,,,,,Mount Lofty Woodlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Little cuckoo,Animalia,Chordata,Aves,https://eol.org/pages/45516204,Macropygia ruficeps (Little Cuckoo Dove) is a species of birds in the family Columbidae. They are found in the indo-malayan realm and australasia. They rely on flight to move around.,tympanic middle ear,,,,20 dB,flight,apatite,corneal eyes,Laos,"fen,terrestrial",Stable,the indo-malayan realm,97 g,,,,,,,Peninsular Malaysian Montane Rain Forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
